ID,분류,항목,적용 시점,운동 추천,실시간 코칭,지식베이스,핵심 룰 (한 줄),입력값,출력값/동작,활용 예시,출처,URL,신뢰도
A02,RPE 자율조절,RPE-1RM% 변환표,세션 전 / 세트 직후,Y,Y,Y,"렙수×목표RPE → 1RM 대비 % 자동 계산. 예: RPE9 3렙=88%, RPE8 5렙=80%","목표 RPE, 렙수, 사용자 1RM",추천 무게 (kg),세션 처방: '오늘 5렙 RPE8 목표' → 1RM의 80% 자동 계산해 무게 제시,Tuchscherer / PowerliftingToWin,https://www.powerliftingtowin.com/a-review-of-mike-tuchscherer-reactive-training-systems-rts/,★★★
A05,RPE 자율조절,자율조절 vs 고정 %,세션 전,Y,-,Y,RPE 기반 자율조절이 고정 %1RM보다 장기 근력 향상에 우월 (근비대는 차이 미미),사용자 목표(근력/근비대),"근력 목표 → 자율조절 우선, 근비대 → 볼륨 우선 알고리즘 분기",'근력 모드'와 '근비대 모드'에서 다른 보정 알고리즘 선택,MASS Research,https://massresearchreview.com/2023/05/22/rpe-and-rir-the-complete-guide/,★★★
A07,RPE 자율조절,RTS Generalized RPE×렙 → %1RM 풀 매트릭스,세션 전 / 세트 직후,Y,Y,Y,Tuchscherer RTS 표준 변환표. 셀=%1RM. 1렙: RPE10=100·9=95.5·8=92.2 / 5렙: RPE10=86.3·9=83.7·8=81.1 / 8렙: RPE10=78.6·9=76.2·8=74.0 / 12렙: RPE10=71.3·9=70.3·8=67.5 (전체 매트릭스 RPE 6.5~10 × 렙 1~12),"목표 RPE, 목표 렙수, 사용자 1RM",추천 무게 = 1RM × 셀(%),"오늘 5렙 RPE8 입력 → 표 (5,8) = 81.1% → 1RM 100kg면 81kg 처방",Tuchscherer / RTS · PowerliftingToWin 정리,https://www.powerliftingtowin.com/a-review-of-mike-tuchscherer-reactive-training-systems-rts/,★★☆
A10,RPE 자율조절,종목·근육군별 변환 보정,세션 전 무게 추천 시,Y,-,Y,단관절·소근육·고렙 영역에서 같은 RPE라도 실제 %1RM이 표보다 낮음. 스쿼트·벤치는 표에 가깝고 데드는 RPE9~10에서 +1~2%p 더 무거움. 8렙 초과/팔·어깨 단관절은 -3~5%p 하향,"운동 종목, 근육군",표 셀 결과 × 종목 보정계수 (스쿼트 1.00 / 벤치 1.00 / 데드 1.01 / 단관절 0.95),'사이드 레터럴 12렙 RPE8' → 표 67.5% × 0.95 = 64% 처방,Helms RPE accuracy 시리즈 (MASS) / Tuchscherer 종목별 차트,https://massresearchreview.com/2023/05/22/rpe-and-rir-the-complete-guide/,★★☆
A13,RPE 자율조절,세션 간 RPE drift 보정,세션 시작 시,Y,Y,Y,"같은 무게·렙에서 RPE가 2주 이상 +1점 drift → 회복 부족. 다음 세션 -5% 또는 디로드. RPE -1점 drift → 적응 완료, +2.5~5% 진행",최근 2~3 세션의 동일 운동 RPE 추이,다음 세션 무게 자동 조정 또는 디로드 권고,벤치 80kg×5 RPE8→8.5→9 추세: 다음 세션 76kg 또는 디로드. RPE8→7→6.5 추세: 82.5kg,"Tuchscherer ""Deloading Effectively"" / Helms 자율조절 원칙",https://store.reactivetrainingsystems.com/blogs/advanced-concepts/deloading-effectively,★★☆
B01,주간 볼륨 기준,MV (유지 볼륨),주간 단위,Y,-,Y,근육군당 주 6세트 정도가 현재 근육량 유지 최소치,"근육군, 주차",유지기/디로드 주차 처방값,"디로드 주에 자동 적용, 또는 비활성 사용자 추적",Israetel / RP Strength,https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth,★★★
B02,주간 볼륨 기준,MEV (성장 시작 볼륨),주간 단위,Y,-,Y,"성장 일으키는 최소 볼륨. 가슴 8, 등 10, 다리 6~8세트/주 등 근육군별 다름",근육군,메조사이클 1주차 볼륨 시작값,새 메조사이클 시작 시 근육군별 MEV로 자동 설정,Israetel,https://drmikeisraetel.com/dr-mike-israetel-mv-mev-mav-mrv-explained/,★★★
B03,주간 볼륨 기준,MAV (최적 적응 볼륨),주간 단위,Y,-,Y,"MEV~MRV 사이의 ""성장 존"". 매주 +1~2세트 점진 증가 필요","현재 주 볼륨, 진행 주차",다음 주 볼륨 = 이번 주 + 1~2세트,메조사이클 4~5주 동안 매주 자동으로 세트 추가,Israetel / RP,https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth,★★★
B04,주간 볼륨 기준,MRV (회복 가능 최대 볼륨),주간 단위,Y,Y,Y,근육군당 주 18~25+세트. 초과 시 오버트레이닝 신호 (수면·식욕·관절통·RPE 상승),근육군별 누적 주간 볼륨,MRV 도달 + 수행도 하락 시 디로드 자동 권고,"앱 알림: '가슴 볼륨이 한계치 도달, 다음 주 디로드 추천'",Israetel,https://propanefitness.com/maximum-recoverable-volume/,★★★
B05,주간 볼륨 기준,Volume Dose-Response 메타,세션 전,Y,-,Y,주당 10+ 세트가 1세트보다 효과 큼(ES 0.44 vs 0.24). 12~20세트 권장. 20+ 추가효과 미미,사용자 목표(근비대),주당 권장 볼륨 자동 처방 (12~20세트),근비대 목표 사용자에게 디폴트 주당 12~20세트 처방,Schoenfeld / Krieger,https://www.strongerbyscience.com/volume/,★★★
