ID	분류	항목	적용 시점	운동 추천	실시간 코칭	지식베이스	핵심 룰 (한 줄)	입력값	출력값/동작	활용 예시	출처	URL	신뢰도
A01	RPE 자율조절	RPE 정의	세트 직후	-	Y	Y	세트 후 "몇 회 더 가능했나"(RIR)로 강도 측정. 1회 남으면 RPE9, 2회 남으면 RPE8	사용자가 입력한 RPE (0~10)	RIR로 변환 → 다음 세트 보정의 기준값	앱 UI: '이 세트 RPE는?' 슬라이더 → DB 저장 → 다음 세트 알고리즘 입력	Zourdos 2016 (Tuchscherer RPE 검증)	https://pubmed.ncbi.nlm.nih.gov/26049792/	★★★
A02	RPE 자율조절	RPE-1RM% 변환표	세션 전 / 세트 직후	Y	Y	Y	렙수×목표RPE → 1RM 대비 % 자동 계산. 예: RPE9 3렙=88%, RPE8 5렙=80%	목표 RPE, 렙수, 사용자 1RM	추천 무게 (kg)	세션 처방: '오늘 5렙 RPE8 목표' → 1RM의 80% 자동 계산해 무게 제시	Tuchscherer / PowerliftingToWin	https://www.powerliftingtowin.com/a-review-of-mike-tuchscherer-reactive-training-systems-rts/	★★★
A03	RPE 자율조절	Fatigue Percent (피로 누적률)	세션 중	-	Y	-	톱셋(RPE9) 후 무게를 N% 줄여 같은 RPE 도달까지 백오프 세트 누적. 정해진 누적량 도달 시 운동 종료	톱셋 무게/RPE, 백오프 세트 RPE	'운동 종료' 신호 또는 '한 세트 더' 신호	컨디션 좋은 날엔 자연스럽게 세트 수 늘어남, 나쁜 날엔 줄어듦. 사용자 부담 없이 자동 조절	Tuchscherer / All Things Gym	https://www.allthingsgym.com/mike-tuchscherer-auto-regulation-fundamentals-fatigue-percentages/	★★★
A04	RPE 자율조절	RIR 예측 정확도 보정	세트 직후	-	Y	Y	사용자는 RIR을 평균 1회 정도 과소예측 (특히 RIR≥3 입력 시 더 부정확)	사용자 입력 RIR	내부값 = 입력값 + 보정계수(0~+1)	초보자/노인은 +1 보정 강하게. 중·고급자는 약하게. 정확한 강도 추정에 필수	MASS Research / Bastos 2024	https://pmc.ncbi.nlm.nih.gov/articles/PMC11127506/	★★☆
A05	RPE 자율조절	자율조절 vs 고정 %	세션 전	Y	-	Y	RPE 기반 자율조절이 고정 %1RM보다 장기 근력 향상에 우월 (근비대는 차이 미미)	사용자 목표(근력/근비대)	근력 목표 → 자율조절 우선, 근비대 → 볼륨 우선 알고리즘 분기	'근력 모드'와 '근비대 모드'에서 다른 보정 알고리즘 선택	MASS Research	https://massresearchreview.com/2023/05/22/rpe-and-rir-the-complete-guide/	★★★
A06	RPE 자율조절	OMNI-RES 스케일	초기 셋업	-	Y	Y	0~10 시각형 RPE 스케일. Borg와 r=0.94~0.97. 초보·노인·재활용 검증	사용자 경험 레벨	대안 RPE 입력 UI 제공	초보자에게는 시각적 0~10 스케일, 숙련자에게는 RIR 기반 스케일 토글	Robertson 2003	https://pubmed.ncbi.nlm.nih.gov/12569225/	★★☆
B01	주간 볼륨 기준	MV (유지 볼륨)	주간 단위	Y	-	Y	근육군당 주 6세트 정도가 현재 근육량 유지 최소치	근육군, 주차	유지기/디로드 주차 처방값	디로드 주에 자동 적용, 또는 비활성 사용자 추적	Israetel / RP Strength	https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth	★★★
B02	주간 볼륨 기준	MEV (성장 시작 볼륨)	주간 단위	Y	-	Y	성장 일으키는 최소 볼륨. 가슴 8, 등 10, 다리 6~8세트/주 등 근육군별 다름	근육군	메조사이클 1주차 볼륨 시작값	새 메조사이클 시작 시 근육군별 MEV로 자동 설정	Israetel	https://drmikeisraetel.com/dr-mike-israetel-mv-mev-mav-mrv-explained/	★★★
B03	주간 볼륨 기준	MAV (최적 적응 볼륨)	주간 단위	Y	-	Y	MEV~MRV 사이의 "성장 존". 매주 +1~2세트 점진 증가 필요	현재 주 볼륨, 진행 주차	다음 주 볼륨 = 이번 주 + 1~2세트	메조사이클 4~5주 동안 매주 자동으로 세트 추가	Israetel / RP	https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth	★★★
B04	주간 볼륨 기준	MRV (회복 가능 최대 볼륨)	주간 단위	Y	Y	Y	근육군당 주 18~25+세트. 초과 시 오버트레이닝 신호 (수면·식욕·관절통·RPE 상승)	근육군별 누적 주간 볼륨	MRV 도달 + 수행도 하락 시 디로드 자동 권고	앱 알림: '가슴 볼륨이 한계치 도달, 다음 주 디로드 추천'	Israetel	https://propanefitness.com/maximum-recoverable-volume/	★★★
