ID,분류,항목,적용 시점,운동 추천,실시간 코칭,지식베이스,핵심 룰 (한 줄),입력값,출력값/동작,활용 예시,출처,URL,신뢰도
A01,RPE 자율조절,RPE 정의,세트 직후,-,Y,Y,"세트 후 ""몇 회 더 가능했나""(RIR)로 강도 측정. 1회 남으면 RPE9, 2회 남으면 RPE8",사용자가 입력한 RPE (0~10),RIR로 변환 → 다음 세트 보정의 기준값,앱 UI: '이 세트 RPE는?' 슬라이더 → DB 저장 → 다음 세트 알고리즘 입력,Zourdos 2016 (Tuchscherer RPE 검증),https://pubmed.ncbi.nlm.nih.gov/26049792/,★★★
A02,RPE 자율조절,RPE-1RM% 변환표,세션 전 / 세트 직후,Y,Y,Y,"렙수×목표RPE → 1RM 대비 % 자동 계산. 예: RPE9 3렙=88%, RPE8 5렙=80%","목표 RPE, 렙수, 사용자 1RM",추천 무게 (kg),세션 처방: '오늘 5렙 RPE8 목표' → 1RM의 80% 자동 계산해 무게 제시,Tuchscherer / PowerliftingToWin,https://www.powerliftingtowin.com/a-review-of-mike-tuchscherer-reactive-training-systems-rts/,★★★
A03,RPE 자율조절,Fatigue Percent (피로 누적률),세션 중,-,Y,-,톱셋(RPE9) 후 무게를 N% 줄여 같은 RPE 도달까지 백오프 세트 누적. 정해진 누적량 도달 시 운동 종료,"톱셋 무게/RPE, 백오프 세트 RPE",'운동 종료' 신호 또는 '한 세트 더' 신호,"컨디션 좋은 날엔 자연스럽게 세트 수 늘어남, 나쁜 날엔 줄어듦. 사용자 부담 없이 자동 조절",Tuchscherer / All Things Gym,https://www.allthingsgym.com/mike-tuchscherer-auto-regulation-fundamentals-fatigue-percentages/,★★★
A04,RPE 자율조절,RIR 예측 정확도 보정,세트 직후,-,Y,Y,사용자는 RIR을 평균 1회 정도 과소예측 (특히 RIR≥3 입력 시 더 부정확),사용자 입력 RIR,내부값 = 입력값 + 보정계수(0~+1),초보자/노인은 +1 보정 강하게. 중·고급자는 약하게. 정확한 강도 추정에 필수,MASS Research / Bastos 2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11127506/,★★☆
A06,RPE 자율조절,OMNI-RES 스케일,초기 셋업,-,Y,Y,0~10 시각형 RPE 스케일. Borg와 r=0.94~0.97. 초보·노인·재활용 검증,사용자 경험 레벨,대안 RPE 입력 UI 제공,"초보자에게는 시각적 0~10 스케일, 숙련자에게는 RIR 기반 스케일 토글",Robertson 2003,https://pubmed.ncbi.nlm.nih.gov/12569225/,★★☆
A07,RPE 자율조절,RTS Generalized RPE×렙 → %1RM 풀 매트릭스,세션 전 / 세트 직후,Y,Y,Y,Tuchscherer RTS 표준 변환표. 셀=%1RM. 1렙: RPE10=100·9=95.5·8=92.2 / 5렙: RPE10=86.3·9=83.7·8=81.1 / 8렙: RPE10=78.6·9=76.2·8=74.0 / 12렙: RPE10=71.3·9=70.3·8=67.5 (전체 매트릭스 RPE 6.5~10 × 렙 1~12),"목표 RPE, 목표 렙수, 사용자 1RM",추천 무게 = 1RM × 셀(%),"오늘 5렙 RPE8 입력 → 표 (5,8) = 81.1% → 1RM 100kg면 81kg 처방",Tuchscherer / RTS · PowerliftingToWin 정리,https://www.powerliftingtowin.com/a-review-of-mike-tuchscherer-reactive-training-systems-rts/,★★☆
A08,RPE 자율조절,RIR ↔ RPE 매핑 정의,세트 직후,-,Y,Y,"RPE 10=0 RIR(완전 실패), 9.5=0.5, 9=1, 8.5=1.5, 8=2, 7.5=2.5, 7=3, 6.5=3.5 RIR. 6 이하는 워밍업 영역",사용자 입력 RPE,내부 RIR 값으로 변환 → 다음 세트 무게 산출 입력,코칭 UI: '1회 더 가능했음' 탭 → RPE 9 → DB에 RIR=1 기록,"Zourdos 2016 (RIR-based RPE Scale, J Strength Cond Res 30(1):267-275)",https://pubmed.ncbi.nlm.nih.gov/26049792/,★★★
A09,RPE 자율조절,RPE 변환표 정확도/검증 한계,세션 후 캘리브레이션,-,Y,Y,표는 경험적(Tuchscherer 코칭)이며 Zourdos 2016에서 RIR 매핑은 검증됐으나 셀별 %1RM은 ±2~5%p 오차. 경험자가 1RM에서 RPE 더 정확. 초보·RIR≥3 구간은 과소예측 (A04와 동일 보정 필요),"사용자 경험 레벨, 종목",보정계수: 초보 ±5%p · 중급 ±3%p · 고급 ±2%p 신뢰구간,'예상 RPE 8 → 실제 RPE 9.5'가 3세션 연속이면 표 수치를 -3%p 자동 캘리브레이션,Zourdos 2016 / Helms 2017 RPE accuracy,https://pubmed.ncbi.nlm.nih.gov/26049792/,★★★
A11,RPE 자율조절,세트 간 무게 보정 (Helms 룰),세트 직후,-,Y,Y,"목표 RPE 대비 0.5점 차이당 무게 ±2% (1점=±4%, 2점=±8%). 동일 세션의 다음 세트에 즉시 적용","목표 RPE, 입력 RPE, 현재 무게",다음 세트 추천 무게 (kg),5렙 RPE8 목표 + 입력 RPE9 → 다음 세트 -4% (100kg → 96kg). RPE7 입력 → +4% (104kg),Helms (Muscle and Strength Pyramid) / Ripped Body,https://rippedbody.com/rpe/,★★★
A12,RPE 자율조절,세트 간 무게 보정 (RTS 룰),세트 직후,-,Y,Y,"RTS 차트 기반: 컴파운드 1 RPE차당 4~5%, 아이솔레이션·고렙(>8렙) 2~3%. RPE+2 이상이면 즉시 -7~10% 또는 운동 종료","운동 종류(컴파운드/아이솔레이션), 렙수, RPE 차이",다음 세트 추천 무게 + 종료 트리거,스쿼트 3렙 RPE8 목표 → 실제 RPE10: -10% 후 백오프 또는 종료. 이두컬 12렙 RPE8 → 9: -2.5%,Tuchscherer Reactive Training Systems / Exodus Strength 분석,https://www.exodus-strength.com/forum/viewtopic.php?t=2967,★★☆
