ID,부위,운동명,장비,분류,주동근,협동근,권장 렙범위,휴식초,무게 단위,난이도,신뢰도
P001,하체,바벨 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P002,하체,데드리프트(컨벤셔널),바벨,컴파운드,햄스트링/대둔근/척추기립근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P003,하체,레그 프레스,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P004,하체,(맨몸)런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
P005,하체,레그 컬,머신,아이솔레이션,햄스트링,,8~15,60~120,5kg,초보,높음
P006,하체,바벨 스티프 레그 데드리프트,바벨,컴파운드,햄스트링/대둔근,광배근/승모근/전완근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P007,하체,브이 스쿼트,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P008,하체,레그 익스텐션,머신,아이솔레이션,대퇴사두근,,8~15,60~120,5kg,초보,높음
P009,하체,덤벨 런지,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P010,하체,핵 스쿼트 머신,머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,5kg,초보,높음
P011,하체,덤벨 스모 스쿼트,덤벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,1~2.5kg,중급,높음
P012,하체,카프 레이즈,머신,아이솔레이션,비복근/가자미근,,8~15,60~120,5kg,초보,높음
P013,하체,힙 어덕션 머신(이너싸이),머신,아이솔레이션,내전근,,8~15,60~120,5kg,초보,높음
P014,하체,힙 어브덕션 머신(아웃타이),머신,아이솔레이션,중둔근,,8~15,60~120,5kg,초보,높음
P015,하체,바벨 힙 쓰러스트,바벨,컴파운드,대둔근/햄스트링,대퇴사두근/햄스트링,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P016,하체,스미스 머신 스쿼트,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P017,하체,원 레그 니 업,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,고급,높음
P018,하체,바벨 와이드 스쿼트,바벨,컴파운드,대퇴사두근/대둔근,햄스트링/척추기립근,5~8 (근력) / 6~12 (비대),180~300,2.5kg,중급,높음
P019,하체,스미스 머신 런지,스미스 머신,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,2.5kg,초보,높음
P020,하체,워킹 런지,맨몸,컴파운드,대퇴사두근/대둔근,햄스트링/종아리,5~8 (근력) / 6~12 (비대),180~300,맨몸/체중조끼,초보,높음
